Hst Nr.,Hst Name,Ort,Gkz,Orts ID,Gültigkeit,Steig,Bereich Nr.,Steigname,RBL Nr.,Kurzbezeichnung,Globale ID,X-Koordinate (STVH),Y-Koordinate (STVH),Georeferenz (STVH),Straßenname,Format,Vitrine,Buchsatz,Aushangfahrplan,ZOB,EFA,DFI Zieltext (Anzeigepriorität),Fußgänger,Radfahrer,Motor. Straßenverkehr,Bevorrechtigter IV (Busse),Eisenbahn,Straßenbahn,U-Bahn,Schiff,X,Y
2735,Bahnhof,Bad Blumau,46005002,1,28.02.1994 - 24.12.2500,g1,1,1,1,1,at:46:2735:0:1,729068,779423,1999482141,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,16.056361,47.123967
2735,Bahnhof,Bad Blumau,46005002,1,28.02.1994 - 24.12.2500,fuer,2,Schleife,2,,at:46:2735:0:2,729104,779437,49098,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.056836,47.123843
2735,Bahnhof,Bad Blumau,46005002,1,28.02.1994 - 24.12.2500,lind,2,Lindegg,1,,at:46:2735:0:3,729086,779434,49098,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.056599,47.123869
2736,Abzweigung Loimeth,Bad Blumau,46005002,1,28.02.1994 - 24.12.2500,blum,0,Bad Blumau (Dorfstraße Loimeth),3,,at:46:2736:0:1,728842,781033,14046,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.053459,47.109478
2736,Abzweigung Loimeth,Bad Blumau,46005002,1,28.02.1994 - 24.12.2500,fuer,0,Fuerstenfeld,2,,at:46:2736:0:2,728840,781000,49248,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.053431,47.109775
2736,Abzweigung Loimeth,Bad Blumau,46005002,1,28.02.1994 - 24.12.2500,lind,0,Hartberg,1,,at:46:2736:0:3,728880,781024,14059,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.053960,47.109561
2737,Weinseißmühle,Burgau (Stmk),46005003,1,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:2737:0:1,732157,779367,2009029814,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.097067,47.124563
2737,Weinseißmühle,Burgau (Stmk),46005003,1,28.02.1994 - 24.12.2500,fuer,0,Fuerstenfeld,1,,at:46:2737:0:2,732037,779485,2009029814,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.095491,47.123499
2738,Postamt,Burgau (Stmk),46005003,1,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:2738:0:1,732270,777299,2009045895,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.098474,47.143168
2738,Postamt,Burgau (Stmk),46005003,1,28.02.1994 - 24.12.2500,fuer,0,Fuerstenfeld,1,,at:46:2738:0:2,732270,777296,2009045895,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.098473,47.143195
2739,Abzweigung Stegersbach,Burgau (Stmk),46005003,1,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:2739:0:1,732564,776694,13074,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.102326,47.148618
2739,Abzweigung Stegersbach,Burgau (Stmk),46005003,1,28.02.1994 - 24.12.2500,fuer,0,Fuerstenfeld,1,,at:46:2739:0:2,732563,776762,13074,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,16.102315,47.148006
2740,Gh Frieß,Naas,46017031,10,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2740:0:1,695686,767697,2009010195,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.615029,47.227513
2740,Gh Frieß,Naas,46017031,10,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2740:0:2,695670,767722,2009010195,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.614821,47.227287
2741,Sturmberg,Naas,46017031,10,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2741:0:1,695182,767133,2009010193,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.608305,47.232544
2741,Sturmberg,Naas,46017031,10,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2741:0:2,695179,767153,2009010193,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.608268,47.232364
2742,Hinterbrühl,Naas,46017031,10,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2742:0:1,694706,766742,2009010194,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.601971,47.236020
2742,Hinterbrühl,Naas,46017031,10,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2742:0:2,694705,766765,2009010194,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.601961,47.235813
2743,Schaffler,Naas,46017031,10,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2743:0:1,694302,765228,9400,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.596447,47.249603
2743,Schaffler,Naas,46017031,10,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2743:0:2,694285,765240,9400,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.596224,47.249494
2744,Lindenwirt,Naas,46017031,10,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2744:0:1,694118,764936,9381,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.593980,47.252213
2744,Lindenwirt,Naas,46017031,10,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2744:0:2,694103,764958,9381,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.593784,47.252014
2745,Felsenkeller,Naas,46017031,10,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2745:0:1,693458,764160,2009010182,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.585163,47.259136
2745,Felsenkeller,Naas,46017031,10,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2745:0:2,693460,764198,2009010181,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.585194,47.258794
2746,Kreuzwirt,Weizklamm,46017020,23,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2746:0:1,692627,762005,8890,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.573906,47.278445
2746,Kreuzwirt,Weizklamm,46017020,23,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2746:0:2,692609,762004,8890,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.573668,47.278453
2747,Klammschmied,Weizklamm,46017020,23,28.02.1994 - 24.12.2500,pass,0,pass,2,,at:46:2747:0:1,692268,761089,8365,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.569043,47.286652
2747,Klammschmied,Weizklamm,46017020,23,28.02.1994 - 24.12.2500,weiz,0,weiz,1,,at:46:2747:0:2,692239,761095,8365,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.568660,47.286596
